abnormality,abnormality_pred,0.500
0,0.0200817,0
0,0.791644,1
0,0.77284545,1
0,0.0011447405,0
0,0.39448187,0
0,0.0024584364,0
0,0.24037515,0
0,0.4964303,0
0,0.00026694348,0
1,0.7317024,1
0,0.00091365684,0
0,0.4488161,0
1,0.50853777,1
1,0.044178873,0
0,0.18901493,0
0,0.5926671,1
0,0.013458072,0
0,0.9608035,1
0,0.01674658,0
0,0.95101744,1
0,0.34158507,0
0,0.97918725,1
0,2.9383864e-06,0
1,0.0026540451,0
1,0.49771914,0
1,0.6518287,1
0,0.0018411165,0
0,0.6289222,1
0,0.15022582,0
0,0.99738985,1
1,0.5065509,1
0,0.13927412,0
1,0.0024362644,0
1,0.22767152,0
0,0.03404095,0
0,0.00068786857,0
0,0.24310607,0
0,0.16407745,0
0,0.9670364,1
0,0.8456049,1
0,0.99408346,1
0,0.89760786,1
1,0.004560244,0
0,0.15473686,0
0,0.19664459,0
0,0.02363277,0
0,0.04479195,0
1,0.8343043,1
1,0.022647938,0
1,0.0048442897,0
0,0.009410273,0
0,0.007386396,0
0,0.30816755,0
0,8.276476e-05,0
0,0.034269944,0
1,0.5800183,1
0,0.007825512,0
0,0.89235795,1
0,0.9463949,1
0,1.3380806e-05,0
0,0.011245769,0
1,0.3637111,0
0,0.47946563,0
0,0.30724636,0
0,0.087303676,0
0,0.6933724,1
0,0.47585467,0
0,0.115334176,0
0,7.955052e-06,0
0,0.53999245,1
0,0.006979116,0
0,0.0018552064,0
0,0.014381836,0
0,0.95050436,1
0,0.49061948,0
0,0.8365521,1
0,0.026444867,0
0,0.89632297,1
1,0.5395112,1
0,0.046267696,0
0,8.911895e-06,0
0,0.6875057,1
0,0.47077104,0
0,0.9378906,1
0,0.71850246,1
1,0.49594545,0
0,0.8189906,1
1,0.8635658,1
0,0.19128036,0
0,0.00044980654,0
1,0.009478229,0
0,0.00021124085,0
0,0.48899826,0
0,0.75411606,1
0,0.1002131,0
0,0.94610286,1
0,3.6064226e-05,0
0,0.042550936,0
0,0.043548316,0
1,0.0012737578,0
0,0.06794321,0
0,0.0014136746,0
0,0.3316731,0
0,0.70603544,1
1,0.7264586,1
0,0.012148583,0
0,0.26852247,0
0,0.9900755,1
0,0.99752265,1
0,0.0002966939,0
1,0.06027822,0
0,0.96956885,1
0,0.0001822783,0
1,0.5825236,1
0,0.9826147,1
0,0.9961546,1
1,0.0006783165,0
0,0.037756667,0
1,0.0031434472,0
0,0.08728985,0
0,0.91825366,1
1,0.0004997315,0
0,0.004778929,0
0,0.69723415,1
0,0.67635494,1
0,0.0038738947,0
0,0.011114726,0
1,0.9978582,1
0,0.030055195,0
1,0.010739478,0
0,0.02796476,0
0,0.94366074,1
0,0.9034036,1
0,0.72971714,1
1,0.96438074,1
1,0.6340477,1
1,0.7071279,1
0,0.034949422,0
0,0.084812395,0
0,0.30769312,0
0,0.0120198075,0
0,0.008867574,0
0,0.082426436,0
0,0.9270271,1
0,0.09164371,0
0,0.00852375,0
0,0.04989298,0
0,0.004308688,0
0,0.67740047,1
0,0.9073196,1
0,0.012323563,0
0,0.91959894,1
0,0.00022607496,0
1,0.8548853,1
1,0.010286019,0
0,0.45367178,0
0,0.97361404,1
0,0.0019169818,0
0,0.9906114,1
0,0.27219865,0
0,0.009654229,0
0,0.07823816,0
0,0.5857839,1
1,0.0074923444,0
1,0.026515149,0
0,0.04062577,0
0,0.9863992,1
0,0.014253023,0
0,0.6013427,1
0,0.0007504002,0
1,0.9906177,1
0,0.21059918,0
0,0.06237855,0
1,0.01839425,0
0,0.0073485738,0
0,0.30371776,0
1,0.92410356,1
0,0.3990276,0
0,0.015462006,0
0,0.82110274,1
1,0.0024238338,0
0,0.96643716,1
1,0.8746609,1
0,0.012212129,0
0,0.7029047,1
1,0.21743195,0
1,0.9896792,1
0,0.000448983,0
1,0.7921091,1
1,0.028729877,0
0,0.9927834,1
0,0.9580879,1
0,0.9448826,1
0,0.89379305,1
1,0.051726066,0
0,0.7531856,1
0,0.6407379,1
0,0.96433794,1
0,0.96278113,1
0,0.99830127,1
1,0.3629378,0
0,0.9963347,1
0,0.007885431,0
0,0.27075183,0
1,0.4855507,0
0,0.11222228,0
1,0.098682724,0
0,0.26562846,0
0,0.059225656,0
0,0.0054548,0
0,0.5057827,1
0,0.8032448,1
0,0.00039474625,0
1,0.92908674,1
0,0.008059243,0
0,0.17598075,0
1,0.013562227,0
0,0.00023735268,0
1,9.9418015e-05,0
1,0.07281234,0
1,0.093785584,0
0,0.07524808,0
0,0.01659689,0
0,0.02637672,0
0,0.0050654286,0
0,0.08194265,0
0,0.06858679,0
1,0.94580185,1
0,0.996415,1
0,0.08659174,0
0,0.019291822,0
0,0.0016127918,0
0,0.94206357,1
0,0.021393672,0
0,0.0007182234,0
0,0.18773133,0
0,0.2931153,0
0,0.03024586,0
1,0.8086585,1
0,0.14172943,0
0,0.03442034,0
0,0.9441979,1
0,0.7928093,1
1,0.6278887,1
1,0.0034479566,0
0,0.29881442,0
0,0.76586574,1
1,0.0017048264,0
0,0.9993037,1
0,0.040527087,0
0,1.7274187e-05,0
1,0.48312736,0
0,0.99357706,1
1,0.9905008,1
0,0.00044191233,0
1,0.0428766,0
0,0.9854394,1
0,0.0003050821,0
0,0.10730882,0
1,0.6638781,1
1,0.9615446,1
0,0.5432562,1
1,0.23015074,0
1,0.9807612,1
0,0.06615823,0
0,0.9994123,1
0,0.00048504438,0
0,0.7534589,1
0,0.06484855,0
0,0.97184765,1
0,0.039450437,0
1,0.8346071,1
0,0.07904677,0
0,0.9836516,1
0,0.9897479,1
0,0.98229617,1
1,0.7957445,1
0,0.96558607,1
0,0.0021698228,0
0,0.0031493653,0
1,0.0027324345,0
0,0.022414029,0
0,0.6741382,1
0,0.9561002,1
0,0.88222283,1
0,0.070421845,0
0,0.24182518,0
0,0.31073475,0
1,0.8598083,1
0,0.6600373,1
0,0.0366308,0
1,0.04620233,0
0,0.0036244688,0
0,0.005547252,0
1,0.17987335,0
1,0.02862305,0
0,0.30627275,0
0,0.027805477,0
0,0.9772658,1
0,0.35807654,0
0,0.16296355,0
1,0.6295794,1
0,5.4330023e-05,0
1,0.06392282,0
0,0.06587536,0
0,0.00016850566,0
0,0.6243635,1
0,0.0028643585,0
0,0.74010634,1
1,0.41008306,0
1,0.13411668,0
0,0.5427311,1
1,0.002177558,0
0,0.99056846,1
0,0.0005662145,0
1,0.03780459,0
0,0.9674645,1
1,0.60546684,1
0,0.033938766,0
0,0.017030312,0
0,0.9805448,1
0,0.007180121,0
0,0.0047302186,0
0,0.9877592,1
1,0.6866476,1
1,0.7585049,1
1,0.72773075,1
0,0.88665897,1
1,0.019696867,0
0,0.004203074,0
0,0.0034345798,0
1,0.2935408,0
1,0.09250452,0
0,0.85467726,1
1,0.022647938,0
1,0.0041266447,0
1,0.018339638,0
1,0.2733124,0
1,0.9847682,1
1,0.025668882,0
0,0.936201,1
1,0.86001706,1
1,0.9565455,1
0,0.020958237,0
0,3.9546612e-05,0
0,0.01850559,0
1,0.0032858723,0
0,0.36641264,0
0,0.35917,0
0,0.00013361723,0
1,0.82547617,1
0,0.0013111389,0
0,0.11982102,0
0,0.82275975,1
0,0.6560114,1
0,0.8981732,1
0,0.95250535,1
0,0.00024598624,0
0,0.017829197,0
1,0.9967391,1
0,0.055702325,0
0,0.78349894,1
0,0.98769104,1
0,0.3395293,0
1,0.2337934,0
0,0.276296,0
0,0.20170036,0
0,0.00013608902,0
0,0.0011933339,0
0,0.6452624,1
1,0.99354726,1
0,0.0026431421,0
0,0.9914396,1
0,0.01531386,0
0,6.3256215e-05,0
1,0.014640331,0
0,0.7746275,1
0,0.9992506,1
1,0.060147975,0
0,0.7536692,1
0,0.25895745,0
1,0.0015193318,0
0,0.29517722,0
0,0.3548271,0
0,0.89803195,1
1,0.9910295,1
1,0.6429184,1
0,0.8935608,1
0,0.70579207,1
1,0.012396908,0
0,0.9894778,1
0,0.21584275,0
0,0.20224606,0
0,0.014783143,0
0,0.93148756,1
0,0.6848134,1
1,0.0004821897,0
0,0.65498495,1
1,0.06236766,0
0,0.0025520592,0
1,0.0022839666,0
0,0.999534,1
0,0.6140812,1
0,0.2746241,0
0,0.00086233043,0
0,0.6728818,1
0,0.00040113347,0
0,0.07143819,0
0,0.49082342,0
0,0.0023850526,0
0,0.3909583,0
0,0.00012904993,0
0,0.9625203,1
0,0.30865708,0
0,0.00030329882,0
0,0.4646099,0
0,0.49561095,0
1,0.8240173,1
0,0.106982715,0
0,0.66075593,1
1,6.2838412e-06,0
1,0.6714851,1
0,0.0016525727,0
0,0.30875888,0
0,8.268114e-05,0
1,0.93302035,1
1,0.6402656,1
0,0.9171097,1
1,0.30930647,0
0,6.757453e-07,0
0,0.007041009,0
0,0.0037919583,0
1,0.2866416,0
0,0.00017447062,0
0,0.0060656266,0
0,0.105859965,0
0,0.0014578076,0
1,0.98001766,1
1,0.43111226,0
0,0.16136257,0
0,0.81538045,1
0,0.48913085,0
0,0.061945982,0
0,0.80617607,1
0,0.20278473,0
0,0.999057,1
1,0.9400479,1
0,0.0035818187,0
0,0.9384311,1
0,0.00829579,0
1,0.0003492331,0
0,0.029981999,0
0,0.68296516,1
0,0.0072646,0
0,0.421508,0
0,0.9975817,1
1,0.9971951,1
0,0.61267096,1
0,0.3224083,0
0,0.39496496,0
0,0.99862635,1
0,0.48456416,0
0,0.012834529,0
0,0.563493,1
0,0.008017787,0
0,0.33719158,0
1,0.531119,1
1,0.12397127,0
0,0.01645123,0
0,0.99569845,1
1,0.1968813,0
0,0.9421875,1
0,0.0009390796,0
0,0.42984825,0
0,0.026770487,0
0,0.048090518,0
0,0.14776367,0
1,0.046502147,0
0,0.0002025425,0
0,0.9577448,1
0,0.9278041,1
0,0.03309562,0
0,0.0030195767,0
0,0.5783065,1
0,0.9999374,1
1,0.94411916,1
1,0.62463135,1
1,0.020457888,0
1,0.018354334,0
1,0.35370997,0
1,0.120934024,0
0,0.28181756,0
1,0.3010433,0
0,0.8088298,1
0,0.8663052,1
1,0.99287647,1
0,0.003918044,0
1,0.007649876,0
0,0.0043744068,0
1,0.009353566,0
0,0.075237095,0
0,0.47493115,0
0,0.654514,1
0,0.17764492,0
0,2.8074457e-05,0
0,0.003008326,0
1,0.00012637573,0
1,0.9668219,1
1,0.7886457,1
0,0.9095322,1
1,0.0008399968,0
0,0.000121574456,0
0,0.4059048,0
1,0.9117666,1
0,0.041517425,0
0,0.4392278,0
0,0.0083220685,0
0,0.006010731,0
1,0.31579483,0
1,0.9523327,1
0,0.39211562,0
0,0.075367786,0
0,6.176995e-05,0
1,0.98508596,1
0,0.00844286,0
0,0.9988965,1
0,0.030095715,0
1,0.6187187,1
1,0.5288758,1
0,0.06277905,0
0,0.00470533,0
1,0.9885903,1
1,0.069533214,0
1,0.042776015,0
0,0.0017626407,0
0,0.66066515,1
1,0.115820065,0
1,0.61847526,1
0,0.9193012,1
0,0.01739347,0
1,0.017344827,0
0,0.99185973,1
1,0.7688153,1
0,0.0002782686,0
0,0.3061311,0
1,0.021761063,0
0,0.9786187,1
1,0.73520523,1
0,0.016377011,0
1,0.079492174,0
0,0.38028976,0
0,0.6573423,1
0,0.00027020517,0
0,8.530078e-05,0
0,0.7982789,1
0,0.9149754,1
0,0.0108365435,0
0,0.02164825,0
0,0.09675783,0
0,0.033139214,0
1,0.4864059,0
0,0.041510854,0
0,0.00032650208,0
1,0.6662489,1
0,0.06303903,0
0,0.0037109407,0
0,0.31987816,0
1,0.94653684,1
0,0.8024258,1
0,0.00020105804,0
1,0.016495097,0
0,0.08440306,0
0,0.01539838,0
1,0.9872371,1
1,0.96872485,1
1,0.7178542,1
0,0.83586925,1
0,0.9956097,1
0,0.97494274,1
0,0.35661194,0
1,0.9999275,1
1,0.4276529,0
0,0.93303686,1
0,0.9429068,1
0,0.190282,0
1,0.9033988,1
0,0.046823736,0
0,0.6715682,1
0,0.00032933257,0
0,0.0029574176,0
0,9.180294e-06,0
0,0.017547684,0
1,0.31524625,0
1,0.1266529,0
1,0.3005417,0
0,0.08133976,0
1,0.8155902,1
0,0.9997447,1
0,0.6826328,1
1,0.9473521,1
0,0.87541634,1
0,0.6679041,1
1,0.023296574,0
0,0.31094047,0
0,0.89582264,1
0,0.99946815,1
0,0.13228798,0
1,0.99621284,1
0,0.11840543,0
0,0.0016898232,0
0,0.8071652,1
0,0.9833836,1
0,0.74222255,1
0,0.00972944,0
0,0.18365593,0
0,0.009550956,0
0,0.43205094,0
0,0.0066034673,0
1,0.624802,1
1,0.10128172,0
1,0.0074468786,0
1,0.030350573,0
1,0.97797304,1
1,0.06573176,0
0,0.0042430516,0
0,0.91310817,1
1,0.99769294,1
1,0.38228703,0
0,0.9946984,1
0,0.001821797,0
0,0.0023221017,0
0,0.55118126,1
0,0.00074400095,0
0,0.017061535,0
0,0.70990473,1
0,0.0035141457,0
1,0.010919592,0
1,0.03423432,0
0,0.21897449,0
1,0.8023042,1
0,0.009922065,0
0,0.014868726,0
0,0.9997271,1
0,0.0068010506,0
0,0.92797357,1
0,0.9288753,1
0,0.1765702,0
0,0.047868475,0
0,0.18612446,0
0,0.8173135,1
1,0.99412715,1
1,0.0040202225,0
0,0.9898156,1
0,0.79833555,1
0,0.8730772,1
0,0.99410784,1
0,0.97026,1
0,0.87909806,1
0,0.09816726,0
0,0.058994498,0
1,0.22963218,0
1,0.9701745,1
0,0.6670502,1
0,0.8922753,1
0,0.009265041,0
0,0.124932386,0
0,0.42913353,0
0,0.8941849,1
0,0.9426763,1
1,0.06952102,0
0,0.8966581,1
0,0.98175174,1
0,0.9992409,1
1,0.99640155,1
0,0.00054870854,0
0,0.001935916,0
0,0.99482816,1
0,0.030978072,0
0,0.0002541174,0
0,0.0012691909,0
0,0.09964209,0
1,0.6436501,1
0,0.011623787,0
0,0.40458325,0
0,0.48048043,0
0,0.8504207,1
0,0.024322698,0
0,0.9965713,1
0,0.2575366,0
0,0.16873847,0
1,0.021714507,0
1,0.93953496,1
0,0.9561138,1
0,0.013063375,0
0,0.0013968679,0
1,0.4469382,0
0,0.1116681,0
0,0.05788271,0
0,0.00815839,0
0,0.99720615,1
0,0.00079492014,0
0,0.6219694,1
0,0.00053005916,0
0,0.99467987,1
1,0.6824593,1
0,0.30249673,0
0,0.1333125,0
0,0.0005932771,0
0,0.072932184,0
0,0.9647495,1
0,0.4648713,0
0,0.30874735,0
1,0.0031100167,0
0,0.8105684,1
0,0.72373414,1
0,0.004089959,0
1,8.358646e-05,0
0,0.007584327,0
0,0.026136097,0
0,0.03980784,0
0,0.0023881895,0
0,0.18026508,0
0,0.03768151,0
1,0.08580502,0
1,0.0027740214,0
1,0.0015542613,0
0,0.01742854,0
1,0.61004055,1
1,0.12582743,0
1,0.15153246,0
1,0.9851702,1
0,0.38549864,0
1,0.41952777,0
0,0.119729735,0
0,0.10563275,0
0,0.14677551,0
1,0.006857877,0
0,3.5739356e-06,0
0,0.8615784,1
0,0.9820077,1
0,0.8326528,1
1,0.98353773,1
1,0.00624911,0
0,0.011879243,0
1,0.61718965,1
0,0.030902196,0
1,0.03822941,0
0,0.10746624,0
1,0.81887597,1
0,0.73597926,1
0,0.6325324,1
1,0.3854556,0
0,5.0635117e-06,0
0,0.7959089,1
0,0.023041826,0
0,0.95252156,1
0,0.045591783,0
0,0.0002758006,0
0,0.52233434,1
1,0.9661022,1
0,0.8803679,1
0,0.07398487,0
1,0.31427503,0
0,0.40962335,0
1,0.9997116,1
1,0.44429237,0
0,0.08482139,0
0,0.9638719,1
0,0.12544674,0
1,0.80607176,1
1,0.003077091,0
1,0.016023334,0
0,0.7282151,1
0,0.70878094,1
0,0.058532838,0
0,0.012020215,0
0,0.94742984,1
0,0.46745613,0
1,0.00026628308,0
0,0.0028667373,0
1,0.069854826,0
1,0.0365182,0
1,0.033530798,0
0,0.012548707,0
0,0.007405856,0
0,0.99943775,1
0,0.0021954912,0
0,0.3907146,0
0,0.46547458,0
1,0.9678218,1
1,0.012089514,0
0,0.37424025,0
1,0.2649436,0
1,0.016394572,0
0,0.75620556,1
0,0.011421177,0
0,0.022334425,0
0,0.7560024,1
0,0.9978276,1
1,0.47862315,0
0,7.122878e-05,0
0,0.06533437,0
0,0.07961447,0
0,0.95409137,1
0,0.5538752,1
1,0.0052778404,0
0,0.003860933,0
1,0.28405696,0
1,0.00015162202,0
0,0.5264149,1
1,0.9874271,1
0,0.9994955,1
0,0.9992873,1
0,0.8647266,1
1,0.4259759,0
0,0.9907127,1
0,0.9962431,1
0,0.33991006,0
1,0.3719563,0
