abnormality,abnormality_pred,0.500
0,0.963867,1
1,0.99999213,1
1,0.9999976,1
1,1.0,1
0,0.12512599,0
1,1.0,1
0,0.050963808,0
1,0.99995756,1
1,0.9998696,1
0,0.15030488,0
1,1.0,1
0,0.9012669,1
0,0.08181295,0
0,0.999995,1
1,1.0,1
0,0.02043849,0
0,0.027768679,0
1,1.0,1
1,0.9999974,1
0,0.18685111,0
0,0.83136016,1
0,0.6790339,1
0,0.11411629,0
1,0.9999999,1
0,0.03312678,0
1,0.9999999,1
1,1.0,1
0,0.008547882,0
0,0.00046647107,0
1,0.99938357,1
1,0.9996001,1
0,0.0038603425,0
0,0.42197865,0
1,1.0,1
1,1.0,1
0,0.97722477,1
1,1.0,1
1,0.99999714,1
1,0.9999875,1
0,0.2874386,0
