abnormality,abnormality_pred,0.500
1,0.99851567,1
1,0.9999989,1
1,0.9999889,1
1,0.99998033,1
1,0.99996245,1
0,0.634077,1
1,0.99995244,1
1,0.9999931,1
1,0.99872726,1
0,0.95549613,1
1,0.9999355,1
0,0.9754056,1
1,0.99994147,1
0,0.82133925,1
0,0.23772277,0
0,0.9787814,1
1,0.9999491,1
0,0.9189773,1
0,0.9997311,1
0,0.44918215,0
1,0.9999976,1
0,0.9549906,1
0,0.9563197,1
0,0.39903942,0
0,0.4963724,0
1,0.9983859,1
0,0.9950846,1
0,0.7462868,1
1,0.9993894,1
0,0.8556539,1
0,0.20511015,0
1,0.9997434,1
0,0.31361762,0
1,0.9999535,1
1,0.9999764,1
0,0.7325338,1
1,0.99999106,1
0,0.99995244,1
1,0.99996257,1
1,0.9886361,1
