abnormality,abnormality_pred,0.500
1,0.93107873,1
0,0.0014442956,0
0,0.12516528,0
1,0.7517959,1
1,0.86701393,1
0,0.56140476,1
0,0.56945735,1
1,0.73095125,1
1,0.26969066,0
1,0.9422714,1
1,0.91445404,1
1,0.92541516,1
1,0.9437889,1
1,0.25798318,0
1,0.8321145,1
0,0.004867526,0
1,0.9958793,1
1,0.06513755,0
0,0.050697386,0
1,0.7146147,1
0,0.72313833,1
0,0.14104488,0
0,0.1021441,0
0,0.23329872,0
0,0.06594859,0
1,0.38035053,0
1,0.30248877,0
0,0.36674574,0
1,0.9784721,1
1,0.9905566,1
0,0.4679509,0
1,0.9950595,1
0,0.9723608,1
0,0.007073776,0
1,0.9783719,1
1,0.9562389,1
1,0.9700941,1
0,0.0054220273,0
0,0.7608518,1
1,0.55534786,1
0,0.855823,1
1,0.1316882,0
1,0.27588755,0
0,0.23697563,0
1,0.51556563,1
1,0.71530366,1
1,0.48518196,0
1,0.74040884,1
1,0.9716204,1
0,0.82047254,1
0,0.4505671,0
1,0.5300657,1
0,0.75068563,1
1,0.9289364,1
0,0.014109022,0
0,0.16550837,0
0,0.5605388,1
1,0.84815717,1
1,0.8645522,1
1,0.74745625,1
0,0.54856366,1
0,0.51816,1
1,0.82973856,1
0,0.98094535,1
1,0.909602,1
0,0.7849019,1
1,0.4313926,0
1,0.5403032,1
0,0.039882813,0
1,0.99885094,1
0,0.7804754,1
1,0.9348465,1
0,0.31068683,0
1,0.95868105,1
1,0.9695644,1
0,0.81518817,1
1,0.5219276,1
1,0.0013917271,0
0,0.0042758915,0
1,0.8145463,1
1,0.17305699,0
1,0.99213517,1
1,0.20478489,0
0,0.06255841,0
1,0.8850368,1
0,0.9534178,1
0,0.56643164,1
0,0.6569779,1
0,0.32934043,0
0,0.9935149,1
1,0.14429395,0
1,0.680333,1
1,0.9993123,1
0,0.24604018,0
1,0.9770576,1
1,0.5403032,1
0,0.414433,0
1,0.99288565,1
0,0.8910663,1
0,0.12557134,0
1,0.9928637,1
1,0.98884004,1
0,0.81297374,1
0,0.9944406,1
0,0.006419107,0
1,0.96980023,1
1,0.7824037,1
0,0.7948004,1
1,0.8579744,1
0,0.21999145,0
0,0.4710001,0
1,0.92690676,1
1,0.63715935,1
1,0.96217453,1
0,0.052311547,0
1,0.939891,1
0,0.025261546,0
0,0.8483835,1
1,0.424927,0
1,0.02921105,0
1,0.7756538,1
1,0.6485903,1
0,0.06651403,0
1,0.2786467,0
0,0.009092183,0
1,0.25980544,0
0,0.6047144,1
1,0.60492563,1
1,0.4227489,0
1,0.9759805,1
1,0.14765161,0
1,0.9879303,1
0,0.11974819,0
0,0.704209,1
1,0.10823624,0
1,0.69109017,1
1,0.99515224,1
0,0.36696208,0
1,0.4104281,0
0,0.816163,1
1,0.24325064,0
0,0.058693465,0
0,0.5445732,1
0,0.11270159,0
1,0.81765324,1
0,0.11449609,0
0,0.047292944,0
0,0.001794704,0
0,0.19055302,0
1,0.8235334,1
1,0.9995004,1
0,0.96108276,1
0,0.41238436,0
1,0.23494995,0
0,0.25127813,0
0,0.013196654,0
0,0.048613768,0
0,0.6755714,1
0,0.029474666,0
0,0.3915315,0
1,0.84881896,1
0,0.78156376,1
0,0.031730387,0
1,0.9699906,1
1,0.9855419,1
1,0.775149,1
0,0.37380016,0
0,0.4820017,0
1,0.96287596,1
0,0.9443104,1
0,0.10168862,0
0,0.02021119,0
1,0.5454168,1
1,0.86185414,1
1,0.8223328,1
0,0.9103139,1
1,0.9824922,1
1,0.99342257,1
0,0.009089933,0
0,0.026724966,0
1,0.8542596,1
0,0.6241101,1
1,0.98326474,1
0,0.2330084,0
0,0.003987486,0
1,0.2694349,0
0,0.02927107,0
0,0.010827429,0
0,0.0684941,0
1,0.9450933,1
0,0.26517576,0
1,0.33476117,0
1,0.46804044,0
0,0.95674247,1
1,0.87460995,1
1,0.17553055,0
0,0.83403707,1
0,0.56594497,1
0,0.34842184,0
1,0.94394904,1
0,0.2932661,0
1,0.97339725,1
1,0.2998889,0
0,0.692228,1
0,0.51839,1
0,0.8905974,1
1,0.8633307,1
1,0.8387382,1
1,0.9005957,1
0,0.004662816,0
0,0.35502827,0
1,0.9753308,1
1,0.36963078,0
1,0.90110517,1
0,0.17356224,0
1,0.059986416,0
0,0.9045395,1
0,0.3588379,0
1,0.95818514,1
1,0.7042212,1
1,0.58764774,1
1,0.8524795,1
1,0.6273341,1
1,0.9982345,1
0,0.16529568,0
1,0.96320087,1
1,0.29654694,0
1,0.21685475,0
1,0.08284845,0
0,0.025065057,0
0,0.0047555454,0
0,0.95158595,1
1,0.950996,1
1,0.98572946,1
0,0.29910764,0
1,0.93828964,1
1,0.18484375,0
0,0.88596356,1
0,0.88701224,1
0,0.008282624,0
0,0.9924482,1
0,0.025633702,0
1,0.21984106,0
0,0.9470509,1
0,0.0030447561,0
1,0.35493785,0
0,0.044040997,0
1,0.78906083,1
1,0.9963715,1
0,0.6026983,1
0,0.29780552,0
0,0.008582941,0
0,0.7951945,1
0,0.77989197,1
0,0.08958309,0
1,0.3943413,0
1,0.11801067,0
0,0.7394337,1
0,0.9486038,1
1,0.9746952,1
1,0.9011988,1
0,0.31450132,0
1,0.034746792,0
1,0.9329199,1
1,0.42759228,0
1,0.23003247,0
0,0.30708966,0
1,0.9934255,1
0,0.7828153,1
1,0.36925504,0
0,0.13587676,0
0,0.06874879,0
0,0.9214002,1
1,0.20947433,0
0,0.24272065,0
1,0.9427165,1
0,0.21804442,0
0,0.7134063,1
1,0.19890045,0
0,0.80057263,1
1,0.92849237,1
1,0.77615064,1
0,0.22514002,0
1,0.9685749,1
1,0.9929765,1
1,0.093686976,0
1,0.9192723,1
0,0.011458973,0
1,0.8384042,1
1,0.9972933,1
0,0.9577272,1
1,0.704762,1
1,0.07490212,0
0,0.06758361,0
1,0.5299258,1
0,0.56742525,1
1,0.877051,1
0,0.4351502,0
0,0.5138524,1
1,0.20478489,0
0,0.108308904,0
0,0.12516528,0
0,0.10977852,0
0,0.45560715,0
0,0.014017071,0
0,0.97577626,1
0,0.9793888,1
0,0.0023970637,0
0,0.32278204,0
0,0.5154592,1
0,0.5164551,1
1,0.68040085,1
0,0.37118572,0
0,0.43386096,0
1,0.42900598,0
1,0.82486093,1
1,0.19972387,0
0,0.071590185,0
1,0.8796148,1
1,0.74206376,1
1,0.18484375,0
1,0.4793978,0
0,0.06348559,0
0,0.13232781,0
0,0.40747777,0
1,0.69257087,1
0,0.008665088,0
1,0.96817464,1
0,0.3906773,0
0,0.65144986,1
0,0.07150137,0
1,0.8605448,1
1,0.9921967,1
1,0.034746792,0
1,0.67522836,1
1,0.68774474,1
0,0.9053987,1
0,0.36767003,0
1,0.1634709,0
1,0.68968517,1
1,0.4588358,0
0,0.74387753,1
0,0.63541466,1
1,0.7361862,1
1,0.41130602,0
0,0.03208796,0
1,0.8926011,1
0,0.051562387,0
1,0.15638217,0
1,0.18484375,0
0,0.76274276,1
1,0.893999,1
0,0.5715409,1
1,0.20478489,0
0,0.65074146,1
1,0.49298164,0
0,0.38961843,0
0,0.4000232,0
0,0.67420393,1
0,0.016438752,0
0,0.93092656,1
1,0.9474328,1
1,0.38397843,0
1,0.8618875,1
0,0.22413099,0
0,0.77205694,1
0,0.50370294,1
0,0.8456778,1
1,0.43986788,0
0,0.9602866,1
0,0.5433783,1
0,0.013736614,0
0,0.008800039,0
1,0.6556244,1
0,0.048952706,0
0,0.14961547,0
0,0.6699498,1
1,0.70935017,1
0,0.83104986,1
0,0.36198428,0
1,0.5194331,1
1,0.9690066,1
1,0.6582623,1
0,0.0014237338,0
1,0.20079894,0
1,0.96129286,1
1,0.08617868,0
0,0.07561312,0
0,0.34700188,0
0,0.635219,1
1,0.9907312,1
0,0.2577239,0
0,0.37327203,0
0,0.5730842,1
0,0.027444722,0
0,0.9072332,1
1,0.9696583,1
1,0.96266633,1
1,0.9866326,1
1,0.4313926,0
