abnormality,abnormality_pred,0.500
1,0.99996495,1
1,0.9999999,1
0,0.999995,1
1,0.99998283,1
1,0.9999919,1
1,0.99999976,1
1,0.9999993,1
1,1.0,1
1,1.0,1
1,0.9999976,1
1,1.0,1
1,0.99999285,1
0,0.037245467,0
0,0.17582576,0
0,0.6240209,1
0,0.848011,1
0,0.57629335,1
0,0.7359137,1
0,0.9814206,1
0,0.71159536,1
0,0.90127015,1
1,1.0,1
0,0.89293945,1
0,0.9999144,1
0,0.026706077,0
1,1.0,1
0,0.84734136,1
1,1.0,1
1,1.0,1
1,0.999998,1
1,0.9999974,1
1,0.9999999,1
0,0.015299672,0
1,0.99984133,1
0,0.25330383,0
0,0.1868527,0
1,0.999962,1
0,0.00084772886,0
0,0.9598344,1
0,0.1122052,0
