abnormality,abnormality_pred,0.500
1,0.7060771137475967,1
1,0.6803223341703415,1
0,0.461604543030262,0
0,0.4687841832637787,0
0,0.6101697981357574,1
1,0.7625237107276917,1
0,0.33222275755542796,0
1,0.7332487851381302,1
1,0.7380113005638123,1
1,0.6976438611745834,1
0,0.4512129873037338,0
0,0.4628210961818695,0
1,0.7900724560022354,1
1,0.46919267624616623,0
0,0.6290070414543152,1
1,0.7570914775133133,1
0,0.44631246058270335,0
0,0.4001535102725029,0
1,0.6831375285983086,1
1,0.7454310655593872,1
1,0.6308893449604511,1
1,0.47191853215917945,0
0,0.47550972192402696,0
0,0.6450303196907043,1
1,0.7774380892515182,1
0,0.7388644814491272,1
1,0.862242579460144,1
1,0.6704448387026787,1
0,0.48459482938051224,0
1,0.8414425551891327,1
0,0.6351212859153748,1
0,0.6065376400947571,1
1,0.7576626241207123,1
0,0.4372994638979435,0
0,0.6352422535419464,1
1,0.5156806334853172,1
1,0.5314142778515816,1
1,0.6703553199768066,1
1,0.6600541323423386,1
1,0.6917018294334412,1
0,0.6752324253320694,1
1,0.7821013331413269,1
1,0.8109203279018402,1
1,0.7270506471395493,1
0,0.6313003301620483,1
0,0.34438085556030273,0
0,0.3360816668719053,0
0,0.5381870940327644,1
0,0.5362959057092667,1
1,0.7825066298246384,1
0,0.4503488093614578,0
1,0.797283262014389,1
0,0.5612384304404259,1
1,0.6906979829072952,1
0,0.44988516345620155,0
0,0.40639593452215195,0
1,0.6964648142457008,1
1,0.5011164397001266,1
1,0.5704289302229881,1
1,0.7131264954805374,1
1,0.4984682318754494,0
0,0.41177890822291374,0
1,0.6083665639162064,1
0,0.30211641342611983,0
1,0.5482340380549431,1
0,0.7455032020807266,1
1,0.5867672637104988,1
1,0.756657212972641,1
0,0.45588554441928864,0
0,0.6123500615358353,1
0,0.2912918690126389,0
0,0.31886392377782613,0
0,0.5099468678236008,1
0,0.4736282527446747,0
0,0.5137980878353119,1
0,0.5201638862490654,1
0,0.41134438040899113,0
0,0.8373919427394867,1
1,0.7006567865610123,1
1,0.6458902955055237,1
0,0.604456752538681,1
1,0.5243562876712531,1
1,0.7439843714237213,1
1,0.5687125772237778,1
0,0.5714194178581238,1
1,0.6885800734162331,1
0,0.463901633862406,0
0,0.33765967562794685,0
1,0.638700507581234,1
0,0.48295579478144646,0
1,0.6507532298564911,1
0,0.31670786440372467,0
1,0.5401937067508698,1
0,0.43594988832774106,0
1,0.6565041914582253,1
1,0.7445149123668671,1
0,0.3934849252800632,0
1,0.8088246881961823,1
1,0.8057166934013367,1
1,0.6823957115411758,1
0,0.4830409121350385,0
1,0.6957436054944992,1
0,0.6457139998674393,1
1,0.6404862254858017,1
0,0.7451900839805603,1
1,0.811077892780304,1
0,0.5540359392762184,1
0,0.584927424788475,1
0,0.47919438034296036,0
0,0.3073395132087171,0
0,0.471839539706707,0
0,0.76213438808918,1
1,0.7813018560409546,1
0,0.7708742618560791,1
0,0.5828593894839287,1
1,0.8625372648239136,1
1,0.6572904363274574,1
0,0.4577771076001227,0
0,0.3738988646073267,0
0,0.6036429926753044,1
1,0.916667252779007,1
1,0.6510385721921921,1
0,0.5965143963694572,1
0,0.5607838518917561,1
1,0.6931982487440109,1
0,0.636102132499218,1
0,0.43325870111584663,0
1,0.773207426071167,1
1,0.8014532625675201,1
1,0.8262919932603836,1
1,0.7826950699090958,1
0,0.48327238112688065,0
0,0.42851392179727554,0
0,0.546362467110157,1
1,0.7003737539052963,1
0,0.29823930002748966,0
0,0.4867462031543255,0
0,0.5858544036746025,1
0,0.42581308260560036,0
1,0.7576614618301392,1
0,0.636393241584301,1
0,0.7256677597761154,1
0,0.49587060511112213,0
0,0.34678956726565957,0
0,0.30723586957901716,0
0,0.4361218884587288,0
1,0.7802625745534897,1
0,0.5312880277633667,1
1,0.7636146545410156,1
0,0.4739699997007847,0
1,0.47185756266117096,0
1,0.6949192136526108,1
1,0.7796797454357147,1
0,0.49778376147150993,0
1,0.733254685997963,1
1,0.7840553224086761,1
0,0.3455416445794981,0
1,0.7482980191707611,1
0,0.67205511033535,1
0,0.7022192478179932,1
1,0.7490016743540764,1
0,0.48870834708213806,0
0,0.7305752411484718,1
0,0.6174002811312675,1
1,0.6420399248600006,1
0,0.6349816769361496,1
0,0.5313032418489456,1
1,0.6719831228256226,1
1,0.7380104511976242,1
1,0.642730638384819,1
0,0.5527575574815273,1
0,0.35547640663571656,0
1,0.7192994505167007,1
0,0.4165908426512033,0
0,0.5741694197058678,1
0,0.31915691844187677,0
1,0.7856885492801666,1
1,0.841466873884201,1
0,0.7636119872331619,1
0,0.43308897595852613,0
0,0.5429450646042824,1
1,0.8246681243181229,1
1,0.5741360820829868,1
0,0.6215472370386124,1
0,0.7501829862594604,1
0,0.41061991872265935,0
1,0.7214131057262421,1
1,0.7469426244497299,1
1,0.6363937556743622,1
0,0.5779267698526382,1
0,0.6209603026509285,1
1,0.7212480753660202,1
0,0.45142539218068123,0
1,0.7958839386701584,1
0,0.41751432680757716,0
0,0.7461445778608322,1
1,0.7959617525339127,1
0,0.5155260413885117,1
1,0.4860544241964817,0
0,0.6192213818430901,1
0,0.6540665775537491,1
0,0.4338170988485217,0
1,0.6922850087285042,1
0,0.4183622724376619,0
0,0.45720409229397774,0
1,0.7295142859220505,1
1,0.814872220158577,1
1,0.6855299845337868,1
1,0.6750059127807617,1
0,0.5665907990187407,1
0,0.739536389708519,1
0,0.5412248335778713,1
1,0.5599858090281487,1
0,0.5577452555298805,1
0,0.457090400159359,0
0,0.3424539604020538,0
0,0.4491150230169296,0
0,0.7200825214385986,1
1,0.6957415044307709,1
0,0.44337958097457886,0
1,0.773025631904602,1
1,0.7431018650531769,1
1,0.6440353691577911,1
1,0.6770824790000916,1
0,0.34570610523223877,0
1,0.7205281555652618,1
0,0.6836734265089035,1
0,0.48461344838142395,0
1,0.490336136706901,0
1,0.8448560982942581,1
0,0.331319740973413,0
1,0.7401330471038818,1
1,0.7152545303106308,1
1,0.7287349700927734,1
0,0.3920631408691406,0
0,0.5077777028400305,1
1,0.7326387614011765,1
1,0.6823903322219849,1
1,0.5210961103439331,1
0,0.6090695410966873,1
0,0.5816328898072243,1
0,0.6611915677785873,1
1,0.6824903637170792,1
0,0.37904612987767905,0
